RouteUID,RouteNameZh,Direction,StopSequence,StopUID,StopNameZh
TPE10132,234,0,1,TPE33210,歡仔園
TPE10132,234,0,2,TPE33211,僑中一街
TPE10132,234,0,3,TPE33212,大觀路一段28巷
TPE10132,234,0,4,TPE33213,大觀國小
TPE10132,234,0,5,TPE33214,國立臺灣藝術大學
TPE10132,234,0,6,TPE33215,中山實小
TPE10132,234,0,7,TPE33216,板橋榮家
TPE10132,234,0,8,TPE33217,力行新村
TPE10132,234,0,9,TPE33219,南雅站
TPE10132,234,0,10,TPE33220,亞東科技大學
TPE10132,234,0,11,TPE33221,豫章工商
TPE10132,234,0,12,TPE33222,仁愛新村
TPE10132,234,0,13,TPE33223,福星里
TPE10132,234,0,14,TPE33224,鄉雲里
TPE10132,234,0,15,TPE33225,後站商圈
TPE10132,234,0,16,TPE33226,介壽公園
TPE10132,234,0,17,TPE33227,民權路口
TPE10132,234,0,18,TPE33228,新北市政府(新府路)
TPE10132,234,0,19,TPE33229,新北板橋公車站
TPE10132,234,0,20,TPE33230,新北市政府(中山路)
TPE10132,234,0,21,TPE33231,中山漢生路口
TPE10132,234,0,22,TPE33232,西安里
TPE10132,234,0,23,TPE180862,中山民生路口
TPE10132,234,0,24,TPE33233,埔墘國小
TPE10132,234,0,25,TPE33234,埔墘(中山路)
TPE10132,234,0,26,TPE33235,埔墘派出所
TPE10132,234,0,27,TPE33236,光復橋
TPE10132,234,0,28,TPE33237,西園路二段
TPE10132,234,0,29,TPE33238,華江高中(西園)
TPE10132,234,0,30,TPE33239,西園29服飾基地
TPE10132,234,0,31,TPE33240,大理服飾
TPE10132,234,0,32,TPE33241,捷運龍山寺站
TPE10132,234,0,33,TPE33242,龍山寺(康定)
TPE10132,234,0,34,TPE33243,祖師廟(康定)
TPE10132,234,0,35,TPE33244,西門國小(臺大醫院北護分院)
TPE10132,234,0,36,TPE33245,峨眉街口(中醫院區)
TPE10132,234,0,37,TPE33246,漢口街
TPE10132,234,1,1,TPE33247,中華路北站
TPE10132,234,1,2,TPE33248,捷運西門站
TPE10132,234,1,3,TPE33249,小南門
TPE10132,234,1,4,TPE33250,桂林昆明街口
TPE10132,234,1,5,TPE33251,桂林路
TPE10132,234,1,6,TPE33252,龍山寺(西園)
TPE10132,234,1,7,TPE33253,大理服飾
TPE10132,234,1,8,TPE33254,西園29服飾基地
TPE10132,234,1,9,TPE33255,華江高中(西園)
TPE10132,234,1,10,TPE33256,西園路二段
TPE10132,234,1,11,TPE33257,光復橋
TPE10132,234,1,12,TPE33258,埔墘派出所
TPE10132,234,1,13,TPE33259,埔墘(中山路)
TPE10132,234,1,14,TPE33260,埔墘國小
TPE10132,234,1,15,TPE180068,中山民生路口
TPE10132,234,1,16,TPE33261,西安里
TPE10132,234,1,17,TPE33262,中山漢生路口
TPE10132,234,1,18,TPE33263,新北市政府(中山路)
TPE10132,234,1,19,TPE33264,新北板橋公車站
TPE10132,234,1,20,TPE33265,新北市政府(新府路)
TPE10132,234,1,21,TPE33266,民權路口
TPE10132,234,1,22,TPE33267,板橋外站
TPE10132,234,1,23,TPE33268,後站商圈
TPE10132,234,1,24,TPE33269,鄉雲里
TPE10132,234,1,25,TPE33270,福星里
TPE10132,234,1,26,TPE33271,仁愛新村
TPE10132,234,1,27,TPE33272,豫章工商
TPE10132,234,1,28,TPE33273,亞東科技大學
TPE10132,234,1,29,TPE33274,南雅站
TPE10132,234,1,30,TPE33275,浮洲橋
TPE10132,234,1,31,TPE58028,福安里
TPE10132,234,1,32,TPE33277,力行新村
TPE10132,234,1,33,TPE33278,板橋榮家
TPE10132,234,1,34,TPE33279,中山實小
TPE10132,234,1,35,TPE33280,國立臺灣藝術大學
TPE10132,234,1,36,TPE33281,大觀國小
TPE10132,234,1,37,TPE33282,大觀路一段28巷
TPE10132,234,1,38,TPE33286,僑中一街
TPE10132,234,1,39,TPE33287,歡仔園
TPE10142,南環幹線,0,1,TPE191081,新店站
TPE10142,南環幹線,0,2,TPE56987,安祥路口
TPE10142,南環幹線,0,3,TPE16823,大茅埔
TPE10142,南環幹線,0,4,TPE16825,康樂新村
TPE10142,南環幹線,0,5,TPE16827,仁康醫院
TPE10142,南環幹線,0,6,TPE16829,薏仁坑
TPE10142,南環幹線,0,7,TPE16831,安康車子路口
TPE10142,南環幹線,0,8,TPE16833,台北菸廠
TPE10142,南環幹線,0,9,TPE16835,浪漫貴族
TPE10142,南環幹線,0,10,TPE16837,公崙新村(豐榮醫院)
TPE10142,南環幹線,0,11,TPE16839,安康派出所
TPE10142,南環幹線,0,12,TPE16841,光華新村(安康路)
TPE10142,南環幹線,0,13,TPE156418,安華路口
TPE10142,南環幹線,0,14,TPE16843,下城社區
TPE10142,南環幹線,0,15,TPE16845,胡璉故居紀念館
TPE10142,南環幹線,0,16,TPE16847,頂城
TPE10142,南環幹線,0,17,TPE16849,大坪頂
