BSM_BUSSTO,BSM_CHINES,geometry
252,捷運西湖站,POINT (121.566541 25.08235)
126,福美站,POINT (121.504489 25.100447)
245,法藏寺,POINT (121.512427 25.138993)
178,行義路一,POINT (121.52864 25.133144)
280,建民里,POINT (121.512544103686 25.1025413796071)
343,國泰新村,POINT (121.498005120919 25.1435377973513)
319,桃源國中,POINT (121.478414765473 25.1352415152076)
366,捷運奇岩站,POINT (121.499599355653 25.1260036105105)
364,捷運石牌站(東�,POINT (121.515721919547 25.1149177701133)
574,士林區行政中�,POINT (121.520387443328 25.092578398549)
729,東吳大學(錢穆�,POINT (121.541893 25.09702)
764,故宮博物院,POINT (121.550516425321 25.1002044633105)
786,乾坑子,POINT (121.558338 25.14201)
880,溪山派出所,POINT (121.58473241964 25.119813999441)
782,紗帽橋,POINT (121.533402 25.148165)
827,富洲里九段,POINT (121.474287954705 25.1060657708899)
1000,內湖國中,POINT (121.587864 25.076894)
934,賴厝,POINT (121.52719 25.113661)
947,職能發展學院,POINT (121.53922 25.11433)
1198,五常街口,POINT (121.54450537732 25.0640382699951)
1352,華山公園(市民),POINT (121.526495 25.047122)
1399,懷生國宅,POINT (121.535592170073 25.0445812164731)
1435,防癆協會,POINT (121.518461311542 25.0639500723418)
1565,基隆路口,POINT (121.568963 25.048356)
1581,復盛京華(往西),POINT (121.56152 25.04688)
1568,基隆路口一,POINT (121.569620946189 25.0501541258807)
1699,捷運南港站,POINT (121.608351845297 25.0523673035021)
1940,成功中學(林森),POINT (121.522688737242 25.0429245302607)
2258,延平中學,POINT (121.538301 25.035923)
2084,吳興街站,POINT (121.56976 25.02324)
2200,復興南路（中�,POINT (121.54377 25.0465)
2363,貓空纜車站,POINT (121.588052 24.968307)
2325,頂好市場,POINT (121.54638 25.041471)
2321,捷運國父紀念�,POINT (121.557774 25.041997)
2446,捷運萬芳社區�,POINT (121.569556 24.998586)
2742,台電大樓,POINT (121.531242919547 25.0181242298867)
2417,政大三街,POINT (121.582577896122 24.9858128333877)
2533,憲光公寓,POINT (121.544010014907 24.9997606733005)
3911,捷運龍山寺站,POINT (121.500584 25.035369)
4041,市民東寧路口,POINT (121.56246 25.04731)
4113,新北投,POINT (121.503116860832 25.1377878885811)
4184,捷運大橋頭站,POINT (121.513712 25.062346)
4722,豐台煤礦,POINT (121.624480075122 25.0249728404282)
4724,福聖宮(山水綠�,POINT (121.621327582177 25.02983169705)
4680,指南宮(後山站),POINT (121.591916919547 24.9785084597734)
4720,護國九天宮,POINT (121.623444406143 25.0181521125487)
5974,富安國小,POINT (121.483314629309 25.1060411036857)
6694,華山公園(市民�,POINT (121.52862 25.04682)
6735,師大分部,POINT (121.537889 25.008326)
6991,興安華城,POINT (121.544288 25.055328)
6933,南昌家具街,POINT (121.520872213921 25.0271947673077)
6946,強恕中學,POINT (121.520519399553 25.0248602145226)
7208,惇敘工商(行義),POINT (121.5272523949 25.1435012492748)
7262,捷運芝山站(福�,POINT (121.524190960825 25.1019166191884)
14606,大埔(明玄宮),POINT (121.53560208412 25.1431074666186)
20371,頂坪,POINT (121.539259593292 25.1527681782416)
20298,臥龍富陽街口,POINT (121.557095 25.018574)
50080,頂湖山,POINT (121.540701006595 25.1732946833253)
50050,世界山莊,POINT (121.563715390793 25.0052307701133)
50046,華山公園(市民�,POINT (121.528667 25.046487)
50518,菁山一,POINT (121.557714 25.145048)
50426,新湖行忠路口,POINT (121.57789 25.0642)
50637,台北美國 / 日�,POINT (121.52816 25.11569)
50688,行政院,POINT (121.51976 25.046484)
60111,陽明書屋(正門),POINT (121.540722 25.162613)
1000022,臺視,POINT (121.551437 25.048248)
60151,居安新村,POINT (121.555312749766 25.1211924950466)
1000093,萬美社區,POINT (121.562559 25.003568)
1000232,憲光公寓,POINT (121.543825935426 24.999489556266)
1001091,竹子湖路4-1號,POINT (121.544286458019 25.1643156690455)
1001089,民生東路口,POINT (121.530146 25.058796)
1000620,陽明教養院,POINT (121.548654 25.110508)
1000769,捷運萬芳醫院�,POINT (121.557681 24.999051)
1000867,建民里一,POINT (121.512175919547 25.1055213793203)
1000770,臺灣警察專科�,POINT (121.558494894192 24.9982684874929)
1001269,菁山二,POINT (121.558714 25.146567)
1001348,幽雅路35號,POINT (121.515467 25.137444)
1001121,懷生國小,POINT (121.54179902083 25.044768989858)
424,港墘,POINT (121.57782510185 25.080685372715)
1107,湖興,POINT (121.590661157725 25.0680308659982)
4,幼華高中(大業),POINT (121.496807 25.135718)
18,上北投,POINT (121.513866 25.141871)
0,中國電視公司,POINT (121.599311 25.056779)
6,幼華高中(大業),POINT (121.496138 25.133805)
598,大崙尾山,POINT (121.569896 25.106839)
50060,大埔一,POINT (121.533125256721 25.1426895280174)
623,內寮,POINT (121.57797615211 25.142287997916)
152,石崁,POINT (121.59490141769 25.103707005694)
1001332,北投分局,POINT (121.500576871349 25.1331002821125)
200005008,捷運台北101/世�,POINT (121.561564 25.032733)
200005010,捷運台北101/世�,POINT (121.563646 25.032742)
747,芝山岩,POINT (121.536684373016 25.101208762614)
1253,行天宮,POINT (121.532937473736 25.0635139862507)
2405,木柵公園,POINT (121.560917 24.986944)
4101,新生公園,POINT (121.531234 25.068377)
59003,全安里,POINT (121.54994358532 25.02673656505)
22,承德公館路口,POINT (121.50191 25.118853)
1001319,無尾崙,POINT (121.52737245767 25.152425605925)
1001792,吳厝,POINT (121.53746 25.14758)
7253,華齡街,POINT (121.519629402921 25.0830656654075)
7214,行義路,POINT (121.527981797813 25.1305967165725)
380,永春橋,POINT (121.505441 25.1549)
367,捷運奇岩站,POINT (121.500659 25.126922)
375,捷運明德站(東�,POINT (121.519244518765 25.1098639859306)
412,振興醫院,POINT (121.522351159706 25.1181879755419)
785,紗帽橋,POINT (121.533504158433 25.1480573705623)
1006,公館山,POINT (121.580951 25.071988)
1685,南港輪胎,POINT (121.60075620256 25.0533242413246)
2535,興隆山莊,POINT (121.558691616658 24.9913869032854)
8405,基湖站,POINT (121.564938279762 25.0801886701416)
37,大業路(農禪寺),POINT (121.499133 25.12286)
35,關渡,POINT (121.46523 25.12488)
906,福德祠,POINT (121.574638 25.128913)
2480,象頭埔,POINT (121.588451 25.001717)
8403,基湖路口,POINT (121.565934254862 25.0805328113617)
56089,三角公園,POINT (121.579916367653 24.9834507594146)
1001351,名山里,POINT (121.528958031912 25.1024487176408)
1011787,玉成里(東新街),POINT (121.583 25.0509)
1776,保德里,POINT (121.49720688095 25.024103061134)
1000520,崁頂,POINT (121.513171387444 25.0253898086792)
234,幽雅路7號,POINT (121.513566 25.137241)
1156,麗寶大樓,POINT (121.582574 25.070289)
154,石牌國小,POINT (121.513156 25.114347)
1001794,熱海大飯店,POINT (121.509028492969 25.1361502967922)
1000175,圓山新城一,POINT (121.540087 25.082444)
1000163,長安東路二段,POINT (121.533115926333 25.0495344197275)
603,下過溪,POINT (121.568784574573 25.1411967660011)
4111,南港軟體園區(�,POINT (121.614063436017 25.0580866635375)
4991,天母公園,POINT (121.530562923942 25.1247139222237)
7212,新北投,POINT (121.50434 25.13769)
3907,泉州街,POINT (121.51419 25.02801)
8633,達人女中(臺灣�,POINT (121.58718 25.08132)
1001786,玉成里(東新街),POINT (121.58272 25.0508)
41,大業路(大興街�,POINT (121.49742 25.12909)
1007,仁寶大樓,POINT (121.568663893339 25.0791021648368)
7606,景福宮,POINT (121.525829 25.067296)
8664,湖興,POINT (121.59085370773 25.067861865327)
9443,力行新城,POINT (121.53797 25.08372)
50106,園區街,POINT (121.612693 25.059093)
200005000,捷運東門站1,POINT (121.527565 25.03422)
58,小南門(和平院�,POINT (121.508728 25.036841)
60,中正高中,POINT (121.517803 25.105059)
61,西門國小(臺大�,POINT (121.502172 25.041327)
1001315,嶺頭,POINT (121.515667 25.149284)
197,陽明教養院華�,POINT (121.541228 25.135212)
200005050,公訓處,POINT (121.56104 25.004577)
1260,忠烈祠,POINT (121.531914177266 25.0780047770478)
200005035,捷運中山站(志�,POINT (121.520309 25.052419)
2503,萬隆,POINT (121.539762187194 24.9992110278855)
20353,虎林街口,POINT (121.57575 25.04838)
56114,象頭埔,POINT (121.588486 25.001848)
1000439,木柵,POINT (121.56658483023 24.9884584493956)
134,臺視,POINT (121.550231 25.048279)
90,文化國小,POINT (121.495844 25.136616)
75,幸安國小,POINT (121.534051 25.038008)
73,鳳甲美術館,POINT (121.497668 25.127658)
78,六窟,POINT (121.53789 25.15312)
149,民權隧道,POINT (121.60492 25.07168)
142,永安街,POINT (121.56893 24.98672)
153,石牌,POINT (121.512347 25.109537)
155,承德公館路口,POINT (121.502481 25.118865)
14615,磺溪,POINT (121.527588 25.125905)
16215,老師里,POINT (121.511508049849 25.0721839786533)
208,士林國中,POINT (121.522781 25.094485)
209,敦化和平路口,POINT (121.548974483357 25.0237225447187)
224,承德路七段,POINT (121.509046 25.1129)
210,和信醫院,POINT (121.471581488549 25.1299720368887)
240,明德路,POINT (121.520571 25.11045)
1025,康湖隧道口(白�,POINT (121.622813623616 25.0773157481393)
1651,南港行政中心,POINT (121.606693480964 25.0544113947875)
1678,南港軟體園區�,POINT (121.614006960189 25.0563948049148)
2029,捷運台北101/世�,POINT (121.563622722929 25.0345549361099)
2121,信義行政中心(�,POINT (121.568236043782 25.0345352489599)
6928,捷運台北101/世�,POINT (121.564589 25.033055)
6929,信義行政中心(�,POINT (121.566698402892 25.0330348486324)
50016,東明里,POINT (121.598579867653 25.0538003797196)
50018,南港輪胎,POINT (121.600631965419 25.053410287006)
50019,南港高工(南港�,POINT (121.610621 25.054961)
986,五分社區,POINT (121.614356340721 25.0686868392957)
1697,捷運昆陽站,POINT (121.593144 25.050403)
1719,陸軍後勤指揮�,POINT (121.591049864824 25.0496237175467)
2038,五分埔商圈(中�,POINT (121.58003 25.04799)
2055,市立工農,POINT (121.572615521202 25.040854107758)
3927,捷運永春站(忠�,POINT (121.575743 25.040967)
1680,南港軟體園區�,POINT (121.614279736525 25.0596223969091)
50446,南寮(忠三街口),POINT (121.623544 25.079071)
1000203,康樂街,POINT (121.619134959956 25.0711232284945)
1000253,南港高工(南港�,POINT (121.609776 25.054968)
1000254,土地公廟,POINT (121.595509916336 25.0544903819023)
1000271,台肥新村,POINT (121.603021736172 25.053655363078)
1000272,南港行政中心,POINT (121.607081950596 25.0543759163622)
1000314,南港高中,POINT (121.595016144669 25.0528946733493)
1579,富泰里,POINT (121.56561562698 25.05720185411)
1017,民權大橋,POINT (121.579477870198 25.066876801458)
